,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,two_year_recid,decile_score,sex_Male,age_cat_Greater than 45,age_cat_Less than 25,c_charge_degree_M,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other
0,69,0,0,0,0,-1.0,0,1,True,True,False,False,False,False,False,False,True
1,34,0,0,0,0,-1.0,1,3,True,False,False,False,False,False,False,False,False
2,24,0,0,1,4,-1.0,1,4,True,False,True,False,False,False,False,False,False
3,23,0,1,0,1,,0,8,True,False,True,False,False,False,False,False,False
4,43,0,0,0,2,,0,1,True,False,False,False,False,False,False,False,True
5,44,0,0,0,0,0.0,0,1,True,False,False,True,False,False,False,False,True
6,41,0,0,0,14,-1.0,1,6,True,False,False,False,False,True,False,False,False
7,43,0,0,0,3,-1.0,0,4,True,False,False,False,False,False,False,False,True
8,39,0,0,0,0,-1.0,0,1,False,False,False,True,False,True,False,False,False
9,21,0,0,0,1,428.0,1,3,True,False,True,False,False,True,False,False,False
10,27,0,0,0,0,-1.0,0,4,True,False,False,False,False,True,False,False,False
11,23,0,0,0,3,0.0,1,6,True,False,True,True,False,False,False,False,False
12,37,0,0,0,0,0.0,0,1,False,False,False,True,False,True,False,False,False
13,41,0,0,0,0,-1.0,0,4,True,False,False,False,False,False,False,False,False
14,47,0,0,0,1,-20.0,1,1,False,True,False,False,False,True,False,False,False
15,31,0,0,0,7,22.0,1,3,True,False,False,False,False,False,False,False,False
16,37,0,0,0,0,0.0,0,1,True,False,False,True,False,False,True,False,False
17,25,0,0,0,3,-1.0,0,10,True,False,False,False,False,False,False,False,False
18,31,0,0,0,6,-1.0,1,5,True,False,False,False,False,True,False,False,False
19,31,0,0,0,5,-1.0,1,3,True,False,False,False,False,True,False,False,False
20,64,0,0,0,13,-1.0,1,6,True,True,False,False,False,False,False,False,False
21,21,0,0,0,1,-1.0,1,9,True,False,True,False,False,False,False,False,False
22,27,0,0,0,0,0.0,1,2,True,False,False,True,False,True,False,False,False
23,21,0,0,0,0,-2.0,0,4,False,False,True,False,False,True,False,False,False
24,24,0,0,0,1,0.0,1,4,True,False,True,False,False,False,True,False,False
25,43,0,0,0,1,-1.0,0,1,True,False,False,True,False,True,False,False,False
26,32,0,0,0,0,-1.0,0,3,True,False,False,True,False,False,False,False,True
27,27,0,0,0,8,-1.0,1,3,True,False,False,False,False,False,False,False,False
28,36,0,0,0,3,53.0,0,3,False,False,False,False,False,True,False,False,False
29,26,0,0,1,5,-1.0,1,7,True,False,False,False,False,False,False,False,False
30,33,0,0,0,0,0.0,1,10,True,False,False,False,False,False,False,False,False
31,30,0,0,0,9,0.0,1,9,True,False,False,False,False,True,False,False,False
32,32,0,0,0,4,-1.0,1,8,True,False,False,False,False,False,False,False,False
33,55,0,0,0,0,-1.0,0,1,True,True,False,False,False,True,False,False,False
34,49,0,0,0,7,-1.0,1,3,True,True,False,False,False,False,False,False,True
35,26,0,0,2,6,81.0,0,8,True,False,False,True,False,True,False,False,False
36,33,0,0,0,4,-1.0,1,5,False,False,False,True,False,True,False,False,False
37,24,0,0,0,1,0.0,1,2,True,False,True,True,False,True,False,False,False
38,34,2,1,3,21,0.0,1,9,True,False,False,False,False,False,False,False,False
39,29,0,0,0,0,0.0,0,2,True,False,False,True,False,True,False,False,False
40,21,0,0,0,2,-1.0,0,8,False,False,True,False,False,False,False,False,False
41,51,0,0,0,2,-1.0,0,1,True,True,False,True,False,False,False,False,False
42,29,0,0,0,2,-1.0,1,2,True,False,False,True,False,True,False,False,False
43,51,0,0,0,7,-1.0,0,2,False,True,False,False,False,False,False,False,False
44,29,0,0,0,0,0.0,1,7,True,False,False,False,False,False,False,False,False
45,25,0,0,0,9,-1.0,1,10,True,False,False,True,False,True,False,False,False
46,35,1,0,4,13,-1.0,1,8,True,False,False,False,False,False,False,False,False
47,49,0,0,0,0,0.0,0,1,True,True,False,True,False,True,False,False,False
48,34,0,0,0,4,-59.0,1,3,True,False,False,True,False,False,False,False,False
49,29,0,0,0,0,0.0,0,4,True,False,False,False,False,False,False,False,False
50,29,0,0,0,1,-24.0,1,2,True,False,False,False,False,True,False,False,False
51,28,0,0,0,0,-1.0,0,2,False,False,False,False,False,False,False,False,True
52,48,0,0,0,20,302.0,1,6,True,True,False,False,False,True,False,False,False
53,63,0,0,0,1,-219.0,0,1,False,True,False,False,False,False,True,False,False
54,31,0,0,1,15,-1.0,0,5,True,False,False,False,False,False,False,False,False
55,24,0,0,0,2,-1.0,1,4,True,False,True,False,False,False,False,False,False
56,30,0,0,0,0,0.0,0,7,True,False,False,True,False,False,True,False,False
57,49,0,0,0,4,-1.0,0,1,True,True,False,True,False,False,False,False,False
58,53,0,0,0,8,-13.0,0,5,True,True,False,False,False,True,False,False,False
59,35,0,0,0,5,-1.0,0,3,True,False,False,False,False,False,False,False,False
60,63,0,0,0,10,-38.0,1,7,True,True,False,True,False,False,False,False,False
61,27,1,1,2,15,-1.0,1,10,True,False,False,False,False,False,False,False,False
62,38,0,0,0,4,-1.0,1,2,True,False,False,True,False,True,False,False,False
63,22,0,0,1,1,-1.0,1,4,True,False,True,False,False,False,False,False,False
64,22,0,1,2,2,70.0,1,10,True,False,True,False,False,False,False,False,False
