sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_charge_degree,c_charge_desc,decile_score,two_year_recid,days_in_jail,sex_Female,sex_Male,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,c_charge_degree_F,c_charge_degree_M,age_cat_encoded
Male,40,25 - 45,Caucasian,0,0,0,4,-1.0,F,Tamper With Witness/Victim/CI,3,1,33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Female,75,Greater than 45,African-American,0,0,0,5,-1.0,F,arrest case no charge,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Male,25,25 - 45,Hispanic,0,0,0,1,-43.0,F,Purchase Of Cocaine,3,0,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Male,47,Greater than 45,Caucasian,0,0,0,0,-1.0,M,Leave Acc/Attend Veh/More $50,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
Male,21,Less than 25,African-American,0,0,0,0,0.0,F,Resist Officer w/Violence,6,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,32,25 - 45,Caucasian,0,0,0,1,-1.2,M,DUI Level 0.15 Or Minor In Veh,2,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,36,25 - 45,African-American,0,0,0,1,-1.0,M,Battery,5,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,24,Less than 25,Hispanic,0,0,0,11,-15.0,F,Solicit Deliver Cocaine,10,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Male,37,25 - 45,Caucasian,0,0,0,1,-1.0,M,Battery,6,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,21,Less than 25,Caucasian,0,0,0,1,428.0,F,Insurance Fraud,3,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Female,39,25 - 45,African-American,0,0,0,3,-1.0,F,Uttering a Forged Instrument,5,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,24,Less than 25,African-American,0,0,0,0,0.0,F,Tamper With Witness/Victim/CI,2,1,22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,23,Less than 25,African-American,0,0,0,0,-1.0,F,Deliver Cannabis,7,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,52,Greater than 45,Other,0,0,0,13,-1.0,F,Felony Petit Theft,7,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
Male,41,25 - 45,African-American,0,0,0,0,0.0,F,Aggravated Assault w/Firearm,1,0,177,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,26,25 - 45,Hispanic,0,0,0,1,-24.0,M,DUI Level 0.15 Or Minor In Veh,2,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Male,57,Greater than 45,Caucasian,0,0,0,1,-1.0,F,Aggravated Assault w/Firearm,2,0,17,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
Male,25,25 - 45,African-American,0,0,0,1,0.0,F,Burglary Conveyance Unoccup,6,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,26,25 - 45,African-American,0,1,0,8,-52.0,F,Attempted Robbery Firearm,6,0,40,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,23,Less than 25,African-American,0,0,0,2,-1.0,F,arrest case no charge,7,1,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,51,Greater than 45,Caucasian,0,0,0,6,0.0,F,arrest case no charge,1,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
Female,31,25 - 45,African-American,0,0,0,2,-1.0,F,Grand Theft (Motor Vehicle),2,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,21,Less than 25,Other,0,0,0,0,-1.0,F,Att Burgl Unoccupied Dwel,6,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Female,27,25 - 45,African-American,0,0,0,0,-1.0,M,Battery,3,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,30,25 - 45,African-American,0,2,2,11,-1.0,F,Strong Armed  Robbery,8,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Female,33,25 - 45,Caucasian,0,0,0,1,-5.0,M,Possess Cannabis/20 Grams Or Less,3,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,31,25 - 45,African-American,0,3,4,15,-1.0,F,Cruelty Toward Child,6,1,91,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Female,24,Less than 25,African-American,0,0,0,7,-1.0,F,Grand Theft in the 3rd Degree,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,48,Greater than 45,Caucasian,0,0,0,0,-1.0,F,Possession of Cocaine,2,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
Male,22,Less than 25,African-American,0,0,0,3,-1.0,F,Burglary Unoccupied Dwelling,3,1,8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Female,21,Less than 25,African-American,0,0,0,0,-1.0,F,Grand Theft in the 3rd Degree,10,1,33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,20,Less than 25,Caucasian,0,0,2,0,-1.0,F,Aggravated Assault W/Dead Weap,2,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,43,25 - 45,African-American,0,0,0,1,-28.0,M,Lve/Scen/Acc/Veh/Prop/Damage,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,52,Greater than 45,Caucasian,0,0,0,3,-1.0,M,Battery,2,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
Female,34,25 - 45,Caucasian,0,0,0,5,-22.0,F,Possession Of Heroin,5,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,44,25 - 45,African-American,2,0,0,19,-17.0,M,Battery,9,1,17,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,22,Less than 25,African-American,0,3,0,3,0.0,F,Possession of Benzylpiperazine,9,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,20,Less than 25,African-American,0,1,0,1,0.0,F,Grand Theft (Motor Vehicle),8,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Female,40,25 - 45,Caucasian,0,0,0,4,-1.0,F,Possession of Cocaine,4,0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,22,Less than 25,African-American,0,0,1,0,-1.0,F,Att Burgl Unoccupied Dwel,8,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,26,25 - 45,African-American,0,0,0,0,-1.0,M,Battery,5,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,38,25 - 45,Other,0,0,0,0,-2.0,M,Battery,2,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Male,23,Less than 25,Hispanic,0,0,0,1,-5.0,M,Exposes Culpable Negligence,3,0,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Male,24,Less than 25,Other,0,0,0,0,0.0,M,Possess Cannabis/20 Grams Or Less,3,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Male,27,25 - 45,Caucasian,0,0,0,0,-1.0,M,Battery,2,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,26,25 - 45,Caucasian,0,0,0,0,-3.0,F,Delivery of Heroin,7,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,21,Less than 25,Caucasian,0,0,0,0,-2.0,F,Sale/Del Cannabis At/Near Scho,9,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,44,25 - 45,African-American,0,0,0,0,-1.0,F,Felony Battery (Dom Strang),1,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,55,Greater than 45,Hispanic,0,0,0,0,-1.0,M,Battery,1,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
Male,38,25 - 45,Caucasian,0,0,0,2,-1.0,F,Possession of Cocaine,5,1,7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Female,56,Greater than 45,African-American,0,0,0,2,-1.0,M,Driving Under The Influence,1,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Male,21,Less than 25,Caucasian,0,0,0,3,-1.0,F,Pos Cannabis W/Intent Sel/Del,8,1,127,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,33,25 - 45,Caucasian,0,0,0,9,-1.0,F,Felony Petit Theft,9,1,49,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,43,25 - 45,Hispanic,0,0,0,1,-1.0,M,DUI Property Damage/Injury,1,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Female,37,25 - 45,African-American,0,0,0,4,-3.8,M,arrest case no charge,5,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,44,25 - 45,Caucasian,0,0,0,4,-1.0,F,Driving While License Revoked,2,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,46,Greater than 45,African-American,0,0,0,0,0.0,F,Driving While License Revoked,7,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Female,36,25 - 45,African-American,0,0,0,1,-1.0,M,Battery,1,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,43,25 - 45,African-American,0,0,0,0,0.0,M,Driving Under The Influence,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,41,25 - 45,Caucasian,0,0,0,3,-1.0,M,Driving Under The Influence,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,35,25 - 45,African-American,0,0,0,2,-1.0,M,Possess Cannabis/20 Grams Or Less,7,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,20,Less than 25,Other,0,0,0,0,-1.0,F,Uttering a Forged Instrument,3,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Male,32,25 - 45,African-American,0,0,0,5,-1.0,M,arrest case no charge,4,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,24,Less than 25,African-American,0,0,0,2,0.0,M,Tresspass Struct/Conveyance,8,1,49,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Male,66,Greater than 45,Caucasian,0,0,0,2,-1.0,M,Viol Injunct Domestic Violence,3,0,56,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
Male,65,Greater than 45,African-American,0,0,0,11,-6.2,F,Possession of Cocaine,10,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Male,26,25 - 45,African-American,0,1,1,9,-1.0,M,Resist/Obstruct W/O Violence,10,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,24,Less than 25,Caucasian,0,0,0,1,-5.0,F,Aggravated Assault W/Dead Weap,6,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Female,34,25 - 45,Caucasian,0,0,1,15,-4.0,F,Grand Theft in the 3rd Degree,9,1,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,22,Less than 25,Caucasian,0,0,0,1,-1.0,F,False Ownership Info/Pawn Item,5,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,27,25 - 45,Caucasian,0,0,0,0,0.0,F,Driving While License Revoked,9,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Female,25,25 - 45,Caucasian,0,0,0,2,16.0,F,Crim Use of Personal ID Info,9,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,23,Less than 25,Caucasian,0,0,1,4,-1.0,F,Poss Similitude of Drivers Lic,4,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,24,Less than 25,African-American,2,1,0,10,-251.0,M,Susp Drivers Lic 1st Offense,9,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Male,31,25 - 45,African-American,0,0,0,8,-1.0,F,Driving While License Revoked,9,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,39,25 - 45,African-American,0,0,0,4,-32.0,F,Grand Theft in the 3rd Degree,2,0,6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,29,25 - 45,African-American,0,1,0,17,-1.0,F,Driving While License Revoked,10,1,15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,23,Less than 25,African-American,0,0,0,0,-1.0,F,Burglary Unoccupied Dwelling,9,1,14,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,21,Less than 25,Other,0,0,0,0,-3.0,F,Possession of Cocaine,4,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Male,39,25 - 45,Caucasian,6,1,0,17,-1.0,F,Possession of Cocaine,7,1,181,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Female,24,Less than 25,African-American,0,0,1,11,-1.0,M,Petit Theft,9,1,77,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Male,22,Less than 25,Caucasian,0,0,0,6,-1.0,F,Crimin Mischief Damage $1000+,9,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,21,Less than 25,African-American,0,0,0,4,-1.0,F,arrest case no charge,9,1,219,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,25,25 - 45,African-American,0,0,0,0,0.0,M,Battery,5,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,27,25 - 45,Hispanic,0,0,0,1,-41.0,M,Operating W/O Valid License,2,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Female,24,Less than 25,African-American,0,0,0,0,0.0,F,Resist Officer w/Violence,5,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,20,Less than 25,African-American,0,0,0,1,-24.0,F,"Poss3,4 Methylenedioxymethcath",3,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,27,25 - 45,Hispanic,0,0,0,1,-1.0,M,Battery,2,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Female,27,25 - 45,Caucasian,0,0,0,4,8.0,M,Leave Acc/Attend Veh/More $50,8,1,54,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,34,25 - 45,African-American,0,0,0,1,-1.0,M,Battery,2,0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,27,25 - 45,African-American,0,0,0,12,-1.0,F,Grand Theft Firearm,8,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,21,Less than 25,African-American,0,0,0,1,-22.0,F,arrest case no charge,3,0,22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,28,25 - 45,Caucasian,0,0,0,7,-1.0,F,Felony Battery,9,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
