age,priors_count,juv_fel_count,juv_misd_count,juv_other_count,days_b_screening_arrest,is_recid,c_charge_desc
69,0,0,0,0,-1.0,0,Aggravated Assault w/Firearm
34,0,0,0,0,-1.0,1,Felony Battery w/Prior Convict
24,4,0,0,1,-1.0,1,Possession of Cocaine
23,1,0,1,0,,0,Possession of Cannabis
43,2,0,0,0,,0,arrest case no charge
44,0,0,0,0,0.0,0,Battery
41,14,0,0,0,-1.0,1,Possession Burglary Tools
43,3,0,0,0,-1.0,0,arrest case no charge
39,0,0,0,0,-1.0,0,Battery
21,1,0,0,0,428.0,1,Insurance Fraud
27,0,0,0,0,-1.0,0,"Poss 3,4 MDMA (Ecstasy)"
23,3,0,0,0,0.0,1,Battery
37,0,0,0,0,0.0,0,Battery
41,0,0,0,0,-1.0,0,"Poss3,4 Methylenedioxymethcath"
47,1,0,0,0,-20.0,1,arrest case no charge
31,7,0,0,0,22.0,1,Felony Driving While Lic Suspd
37,0,0,0,0,0.0,0,Battery
25,3,0,0,0,-1.0,0,Grand Theft in the 3rd Degree
31,6,0,0,0,-1.0,1,Driving While License Revoked
31,5,0,0,0,-1.0,1,Possession Of Heroin
64,13,0,0,0,-1.0,1,arrest case no charge
21,1,0,0,0,-1.0,1,Battery on Law Enforc Officer
27,0,0,0,0,0.0,1,Possession Of Methamphetamine
21,0,0,0,0,-2.0,0,Introduce Contraband Into Jail
24,1,0,0,0,0.0,1,Lewd/Lasc Battery Pers 12+/<16
43,1,0,0,0,-1.0,0,Susp Drivers Lic 1st Offense
32,0,0,0,0,-1.0,0,Battery
27,8,0,0,0,-1.0,1,Carrying Concealed Firearm
36,3,0,0,0,53.0,0,arrest case no charge
26,5,0,0,1,-1.0,1,Pos Cannabis W/Intent Sel/Del
33,0,0,0,0,0.0,1,Tampering With Physical Evidence
30,9,0,0,0,0.0,1,Felony Battery w/Prior Convict
32,4,0,0,0,-1.0,1,Att Tamper w/Physical Evidence
55,0,0,0,0,-1.0,0,arrest case no charge
49,7,0,0,0,-1.0,1,Agg Fleeing and Eluding
26,6,0,0,2,81.0,0,Operating W/O Valid License
33,4,0,0,0,-1.0,1,Battery
24,1,0,0,0,0.0,1,Battery
34,21,2,1,3,0.0,1,Poss Wep Conv Felon
29,0,0,0,0,0.0,0,Possess Cannabis/20 Grams Or Less
21,2,0,0,0,-1.0,0,arrest case no charge
51,2,0,0,0,-1.0,0,Unlaw Use False Name/Identity
29,2,0,0,0,-1.0,1,Viol Injunct Domestic Violence
51,7,0,0,0,-1.0,0,Possession of Cocaine
29,0,0,0,0,0.0,1,Defrauding Innkeeper $300/More
25,9,0,0,0,-1.0,1,Battery
35,13,1,0,4,-1.0,1,Uttering a Forged Instrument
49,0,0,0,0,0.0,0,DUI Level 0.15 Or Minor In Veh
34,4,0,0,0,-59.0,1,Driving License Suspended
29,0,0,0,0,0.0,0,Tampering With Physical Evidence
29,1,0,0,0,-24.0,1,Possession of Oxycodone
28,0,0,0,0,-1.0,0,Grand Theft in the 3rd Degree
48,20,0,0,0,302.0,1,arrest case no charge
63,1,0,0,0,-219.0,0,arrest case no charge
31,15,0,0,1,-1.0,1,Attempt Armed Burglary Dwell
24,2,0,0,0,-1.0,1,Poss Tetrahydrocannabinols
30,0,0,0,0,0.0,0,Possess Cannabis/20 Grams Or Less
49,4,0,0,0,-1.0,0,Battery
53,8,0,0,0,-13.0,0,arrest case no charge
35,5,0,0,0,-1.0,0,Driving While License Revoked
63,10,0,0,0,-38.0,1,Possess Drug Paraphernalia
27,15,1,1,2,-1.0,1,Driving While License Revoked
38,4,0,0,0,-1.0,1,Battery
22,1,0,0,1,-1.0,1,Poss Firearm W/Altered ID#
22,2,0,1,2,70.0,1,Sell Conterfeit Cont Substance
